det(mulher-2, Essa-1)
adpmod(rapidez-25, com-26)
mark(comemos-28, que-27)
adpcomp(com-26, comemos-28)
det(sanduíche-30, um-29)
dobj(comemos-28, sanduíche-30)
p(morreu-4, .-31)

mark(dizendo-4, Como-1)
nsubj(dizendo-4, eu-2)
aux(dizendo-4, is-3)
advcl(convidados-13, dizendo-4)
det(bichos-6, os-5)
nsubjpass(convidados-13, bichos-6)
amod(bichos-6, naturais-7)
adpmod(bichos-6, de-8)
poss(casa-10, minha-9)
adpobj(de-8, casa-10)
neg(convidados-13, não-11)
auxpass(convidados-13, foram-12)
root(ROOT-0, convidados-13)
p(convidados-13, .-14)

root(ROOT-0, Apareceram-1)
advmod(Apareceram-1, assim-2)
adpmod(Apareceram-1, sem-3)
advmod(nem-5, mais-4)
advmod(menos-6, nem-5)
adpcomp(sem-3, menos-6)
p(Apareceram-1, .-7)

adpmod(tenho-4, Por-1)
adpobj(Por-1, exemplo-2)
p(Por-1, :-3)
root(ROOT-0, tenho-4)
dobj(tenho-4, baratas-5)
p(tenho-4, .-6)

cc(são-2, E-1)
root(ROOT-0, são-2)
attr(são-2, baratas-3)
advmod(feias-5, muito-4)
amod(baratas-3, feias-5)
cc(feias-5, e-6)
det(velhas-8, muito-7)
conj(feias-5, velhas-8)
nsubj(fazem-11, que-9)
neg(fazem-11, não-10)
rcmod(velhas-8, fazem-11)
advmod(fazem-11, bem-12)
adpmod(fazem-11, a-13)
adpobj(a-13, ninguém-14)
p(são-2, .-15)

adpmod(roem-5, Pelo-1)
adpobj(Pelo-1, contrário-2)
nsubj(roem-5, elas-3)
advmod(roem-5, até-4)
root(ROOT-0, roem-5)
det(roupa-8, a-6)
poss(roupa-8, minha-7)
dobj(roem-5, roupa-8)
nsubj(está-10, que-9)
rcmod(roupa-8, está-10)
adpmod(está-10, no-11)
adpobj(no-11, armário-12)
p(roem-5, .-13)

nsubj(sabem-2, Vocês-1)
root(ROOT-0, sabem-2)
mark(tive-5, que-3)
nsubj(tive-5, eu-4)
ccomp(sabem-2, tive-5)
det(guerra-7, uma-6)
dobj(tive-5, guerra-7)
amod(guerra-7, danada-8)
adpmod(guerra-7, contra-9)
det(baratas-11, as-10)
adpobj(contra-9, baratas-11)
cc(sabem-2, e-12)
nsubj(ganhou-14, quem-13)
conj(sabem-2, ganhou-14)
adpmod(ganhou-14, nessa-15)
adpobj(nessa-15, guerra-16)
ccomp(ganhou-14, fui-17)
attr(fui-17, eu-18)
p(sabem-2, ?-19)

nsubj(fiz-2, Eu-1)
root(ROOT-0, fiz-2)
det(seguinte-4, o-3)
dobj(fiz-2, seguinte-4)
p(fiz-2, :-5)
parataxis(fiz-2, paguei-6)
det(dinheiro-8, um-7)
nsubj(matar-19, dinheiro-8)
adpmod(dinheiro-8, para-9)
det(homem-11, um-10)
adpobj(para-9, homem-11)
nsubj(faz-14, que-12)
advmod(faz-14, só-13)
rcmod(homem-11, faz-14)
dobj(faz-14, isso-15)
adpmod(faz-14, na-16)
adpobj(na-16, vida-17)
p(faz-14, :-18)
xcomp(paguei-6, matar-19)
dobj(matar-19, baratas-20)
p(fiz-2, .-21)

det(homem-2, Esse-1)
nsubj(faz-3, homem-2)
root(ROOT-0, faz-3)
det(coisa-5, uma-4)
dobj(faz-3, coisa-5)
nsubj(chama-8, que-6)
prt(chama-8, se-7)
rcmod(coisa-5, chama-8)
attr(chama-8, dedetização-9)
p(faz-3, .-10)

nsubj(espalha-2, Ele-1)
root(ROOT-0, espalha-2)
det(remédio-4, esse-3)
dobj(espalha-2, remédio-4)
adpmod(espalha-2, pela-5)
adpobj(pela-5, casa-6)
amod(casa-6, toda-7)
p(espalha-2, .-8)

det(remédio-2, Esse-1)
nsubj(tem-3, remédio-2)
root(ROOT-0, tem-3)
det(cheiro-5, um-4)
dobj(tem-3, cheiro-5)
advmod(forte-7, muito-6)
amod(cheiro-5, forte-7)
nsubj(faz-10, que-8)
neg(faz-10, não-9)
rcmod(cheiro-5, faz-10)
advmod(faz-10, mal-11)
adpmod(faz-10, para-12)
det(gente-14, a-13)
adpobj(para-12, gente-14)
cc(faz-10, mas-15)
conj(faz-10, deixa-16)
det(baratas-18, as-17)
dobj(deixa-16, baratas-18)
advmod(tontas-20, muito-19)
amod(baratas-18, tontas-20)
mwe(que-22, até-21)
mark(morrem-23, que-22)
advcl(deixa-16, morrem-23)
p(tem-3, .-24)

cc(parece-2, Mas-1)
root(ROOT-0, parece-2)
adpmod(parece-2, que-3)
adpobj(que-3, uma-4)
amod(uma-4, barata-5)
mwe(de-7, antes-6)
mark(morrer-8, de-7)
advcl(uma-4, morrer-8)
dobj(morrer-8, conta-9)
amod(conta-9, baixo-10)
adpmod(morrer-8, às-11)
det(baratas-13, outras-12)
adpobj(às-11, baratas-13)
dep(é-17, que-14)
poss(casa-16, minha-15)
nsubj(é-17, casa-16)
rcmod(baratas-13, é-17)
acomp(é-17, perigosa-18)
adpmod(é-17, para-19)
det(raça-21, a-20)
adpobj(para-19, raça-21)
poss(raça-21, delas-22)
cc(é-17, e-23)
advmod(espalha-28, assim-24)
det(notícia-26, a-25)
nsubj(espalha-28, notícia-26)
dobj(espalha-28, se-27)
conj(é-17, espalha-28)
adpmod(espalha-28, pelo-29)
adpobj(pelo-29, mundo-30)
adpmod(mundo-30, das-31)
adpobj(das-31, baratas-32)
cc(uma-4, e-33)
nsubj(voltam-36, elas-34)
neg(voltam-36, não-35)
conj(uma-4, voltam-36)
adpmod(voltam-36, para-37)
poss(casa-39, minha-38)
adpobj(para-37, casa-39)
p(parece-2, .-40)

advmod(seis-2, Só-1)
num(meses-3, seis-2)
nmod(depois-4, meses-3)
advmod(ganham-6, depois-4)
nsubj(ganham-6, elas-5)
root(ROOT-0, ganham-6)
dobj(ganham-6, coragem-7)
adpmod(coragem-7, de-8)
adpcomp(de-8, voltar-9)
cc(voltar-9, mas-10)
nsubj(chamo-12, eu-11)
conj(voltar-9, chamo-12)
adpmod(chamo-12, de-13)
amod(homem-16, novo-14)
det(homem-16, o-15)
adpobj(de-13, homem-16)
adpmod(homem-16, dos-17)
adpobj(dos-17, remédios-18)
cc(ganham-6, e-19)
nsubj(fogem-21, elas-20)
conj(ganham-6, fogem-21)
adpmod(fogem-21, de-22)
adpcomp(de-22, novo-23)
p(ganham-6, .-24)

