nsubj(era-2, Ele-1)
adpcomp(a-4, olhar-5)
adpmod(olhar-5, para-6)
det(chão-8, o-7)
adpobj(para-6, chão-8)
cc(Ficava-1, e-9)
det(alisar-11, a-10)
conj(Ficava-1, alisar-11)
poss(gatinho-13, seu-12)
dobj(alisar-11, gatinho-13)
amod(gatinho-13, morno-14)
p(Ficava-1, .-15)

advmod(passavam-3, Assim-1)
prt(passavam-3, se-2)
root(ROOT-0, passavam-3)
det(horas-5, as-4)
nsubj(passavam-3, horas-5)
p(passavam-3, .-6)

adpmod(mandava-4, Às-1)
adpobj(Às-1, vezes-2)
nsubj(mandava-4, eu-3)
root(ROOT-0, mandava-4)
xcomp(mandava-4, buscar-5)
det(xícara-7, uma-6)
dobj(buscar-5, xícara-7)
adpmod(xícara-7, de-8)
adpobj(de-8, café-9)
dobj(bebia-12, que-10)
nsubj(bebia-12, ele-11)
rcmod(xícara-7, bebia-12)
adpmod(bebia-12, com-13)
det(açúcar-15, muito-14)
adpobj(com-13, açúcar-15)
cc(açúcar-15, e-16)
conj(açúcar-15, gulosamente-17)
p(mandava-4, .-18)

cc(pensava-3, E-1)
nsubj(pensava-3, eu-2)
root(ROOT-0, pensava-3)
det(pensamento-5, um-4)
dobj(pensava-3, pensamento-5)
advmod(engraçado-7, muito-6)
amod(pensamento-5, engraçado-7)
p(pensava-3, :-8)
parataxis(pensava-3, é-9)
mark(achasse-12, que-10)
prt(achasse-12, se-11)
csubj(é-9, achasse-12)
mark(andava-14, que-13)
nsubj(teria-19, andava-14)
adpmod(andava-14, a-15)
adpcomp(a-15, destruir-16)
dobj(destruir-16, tudo-17)
neg(teria-19, não-18)
conj(achasse-12, teria-19)
det(gosto-21, tanto-20)
dobj(teria-19, gosto-21)
adpmod(gosto-21, em-22)
adpcomp(em-22, beber-23)
dobj(beber-23, café-24)
cc(teria-19, e-25)
neg(pediria-27, não-26)
conj(teria-19, pediria-27)
advmod(pediria-27, mais-28)
p(pensava-3, .-29)

det(suspeita-3, Uma-1)
amod(suspeita-3, leve-2)
root(ROOT-0, suspeita-3)
adpmod(suspeita-3, de-4)
mark(era-7, que-5)
nsubj(era-7, W.-6)
adpcomp(de-4, era-7)
det(artista-9, um-8)
attr(era-7, artista-9)
partmod(artista-9, vinha-me-10)
adpmod(vinha-me-10, à-11)
adpobj(à-11, mente-12)
p(suspeita-3, .-13)

mark(desculpá-lo-2, Para-1)
root(ROOT-0, desculpá-lo-2)
dobj(desculpá-lo-2, respondia-me-3)
p(desculpá-lo-2, :-4)
parataxis(desculpá-lo-2, destrói-se-5)
dobj(destrói-se-5, tudo-6)
adpmod(destrói-se-5, em-7)
adpobj(em-7, torno-8)
adpmod(torno-8, de-9)
adpobj(de-9, si-10)
cc(destrói-se-5, mas-11)
nsubj(consegue-24, a-12)
adpobj(a-12, si-13)
amod(si-13, próprio-14)
cc(a-12, e-15)
adpmod(a-12, aos-16)
adpobj(aos-16, desejos-17)
nsubj(temos-19, nós-18)
rcmod(desejos-17, temos-19)
det(corpo-21, um-20)
dobj(temos-19, corpo-21)
neg(consegue-24, não-22)
prt(consegue-24, se-23)
conj(destrói-se-5, consegue-24)
xcomp(consegue-24, destruir-25)
p(desculpá-lo-2, .-26)

nsubj(desculpa-2, Pura-1)
root(ROOT-0, desculpa-2)
p(desculpa-2, .-3)

adpmod(abri-5, Num-1)
adpobj(Num-1, dia-2)
adpmod(dia-2, de-3)
adpobj(de-3, verão-4)
root(ROOT-0, abri-5)
det(janela-7, a-6)
dobj(abri-5, janela-7)
adpmod(janela-7, de-8)
adpobj(de-8, par-9)
adpmod(abri-5, em-10)
adpobj(em-10, par-11)
p(abri-5, .-12)

root(ROOT-0, Pareceu-me-1)
mark(entrara-5, que-2)
det(jardim-4, o-3)
nsubj(entrara-5, jardim-4)
ccomp(Pareceu-me-1, entrara-5)
adpmod(entrara-5, na-6)
adpobj(na-6, sala-7)
p(Pareceu-me-1, .-8)

nsubj(tinha-2, Eu-1)
root(ROOT-0, tinha-2)
num(anos-6, vinte-3)
cc(vinte-3, e-4)
conj(vinte-3, dois-5)
dobj(tinha-2, anos-6)
cc(tinha-2, e-7)
conj(tinha-2, sentia-8)
det(natureza-10, a-9)
dobj(sentia-8, natureza-10)
adpmod(sentia-8, em-11)
det(fibras-14, todas-12)
det(fibras-14, as-13)
adpobj(em-11, fibras-14)
p(tinha-2, .-15)

det(dia-2, Aquele-1)
nsubj(estava-3, dia-2)
root(ROOT-0, estava-3)
acomp(estava-3, lindo-4)
p(estava-3, .-5)

det(sol-2, Um-1)
nsubj(cobria-9, sol-2)
amod(sol-2, mansinho-3)
mark(nascesse-6, como-4)
dobj(nascesse-6, se-5)
advcl(cobria-9, nascesse-6)
adpmod(nascesse-6, naquele-7)
adpobj(naquele-7, instante-8)
root(ROOT-0, cobria-9)
det(flores-11, as-10)
dobj(cobria-9, flores-11)
cc(flores-11, e-12)
det(relva-14, a-13)
conj(flores-11, relva-14)
p(cobria-9, .-15)

root(ROOT-0, Eram-1)
num(horas-3, quatro-2)
nsubj(Eram-1, horas-3)
adpmod(horas-3, da-4)
adpobj(da-4, tarde-5)
p(Eram-1, .-6)

adpmod(silêncio-4, Ao-1)
adpobj(Ao-1, redor-2)
det(silêncio-4, o-3)
root(ROOT-0, silêncio-4)
p(silêncio-4, .-5)

root(ROOT-0, Voltei-me-1)
mark(amolecida-4, para-2)
advmod(amolecida-4, dentro-3)
advcl(Voltei-me-1, amolecida-4)
adpmod(amolecida-4, pela-5)
adpobj(pela-5, calma-6)
adpmod(calma-6, daqueles-7)
adpobj(daqueles-7, momentos-8)
p(Voltei-me-1, .-9)

root(ROOT-0, Queria-1)
dobj(Queria-1, dizer-lhe-2)
p(dizer-lhe-2, :-3)
p(Parece-me-5, --4)
appos(dizer-lhe-2, Parece-me-5)
nsubj(é-8, que-6)
nsubj(é-8, essa-7)
rcmod(Parece-me-5, é-8)
det(primeira-10, a-9)
attr(é-8, primeira-10)
adpmod(primeira-10, das-11)
adpobj(das-11, horas-12)
cc(primeira-10, mas-13)
nsubjpass(seguirá-20, que-14)
mwe(dela-16, depois-15)
mark(seguirá-20, dela-16)
advmod(nenhuma-18, mais-17)
nsubj(seguirá-20, nenhuma-18)
prt(seguirá-20, se-19)
conj(primeira-10, seguirá-20)
p(Queria-1, .-21)

advmod(responder-3, Mentalmente-1)
advmod(responder-3, ouvi-o-2)
root(ROOT-0, responder-3)
p(responder-3, :-4)
p(é-7, --5)
nsubj(é-7, Isso-6)
parataxis(responder-3, é-7)
advmod(é-7, apenas-8)
det(tendência-10, uma-9)
attr(é-7, tendência-10)
amod(tendência-10, sentimental-11)
amod(misturada-13, indefinível-12)
amod(sentimental-11, misturada-13)
adpmod(misturada-13, à-14)
adpobj(à-14, literatura-15)
adpmod(literatura-15, da-16)
adpobj(da-16, moda-17)
advmod(subjetivista-19, muito-18)
amod(literatura-15, subjetivista-19)
p(responder-3, .-20)

root(ROOT-0, Daí-1)
det(confusão-3, essa-2)
adpobj(Daí-1, confusão-3)
adpmod(confusão-3, de-4)
adpobj(de-4, sentimentos-5)
nsubj(tem-8, que-6)
neg(tem-8, não-7)
rcmod(sentimentos-5, tem-8)
advmod(tem-8, verdadeiramente-9)
det(conteúdo-11, um-10)
dobj(tem-8, conteúdo-11)
amod(conteúdo-11, próprio-12)
adpmod(próprio-12, a-13)
neg(ser-15, não-14)
adpcomp(a-13, ser-15)
det(estado-18, o-16)
poss(estado-18, seu-17)
attr(ser-15, estado-18)
amod(estado-18, psicológico-19)
advmod(comum-21, muito-20)
amod(estado-18, comum-21)
adpmod(estado-18, em-22)
adpobj(em-22, moças-23)
amod(moças-23, solteiras-24)
adpmod(moças-23, de-25)
poss(idade-27, sua-26)
adpobj(de-25, idade-27)
p(Daí-1, .-28)

root(ROOT-0, Tentei-1)
dobj(Tentei-1, explicar-lhe-2)
amod(explicar-lhe-2, combatê-lo-3)
p(Tentei-1, .-4)

det(argumento-2, Nenhum-1)
root(ROOT-0, argumento-2)
p(argumento-2, .-3)

nsubj(desolada-2, Voltei-me-1)
root(ROOT-0, desolada-2)
partmod(desolada-2, olhei-3)
poss(rosto-5, seu-4)
dobj(olhei-3, rosto-5)
amod(rosto-5, triste-6)
cc(olhei-3, e-7)
aux(calados-9, ficamos-8)
conj(olhei-3, calados-9)
p(desolada-2, .-10)

root(ROOT-0, Foi-1)
advmod(Foi-1, então-2)
mark(pensei-4, que-3)
csubj(Foi-1, pensei-4)
det(coisa-6, aquela-5)
dobj(pensei-4, coisa-6)
amod(coisa-6, terrível-7)
p(pensei-4, :-8)
cc(pensei-4, Ou-9)
nsubj(destruo-12, eu-10)
dobj(destruo-12, o-11)
conj(pensei-4, destruo-12)
cc(destruo-12, ou-13)
nsubj(destruirá-16, ele-14)
dobj(destruirá-16, me-15)
conj(destruo-12, destruirá-16)
p(Foi-1, .-17)

root(ROOT-0, Era-1)
acomp(Era-1, preciso-2)
csubj(Era-1, evitar-3)
adpmod(evitar-3, a-4)
det(custo-6, todo-5)
adpobj(a-4, custo-6)
adpmod(evitar-3, que-7)
det(tendência-9, aquela-8)
adpobj(que-7, tendência-9)
appos(tendência-9, analista-10)
nsubj(terminava-12, que-11)
rcmod(analista-10, terminava-12)
adpmod(terminava-12, pela-13)
adpobj(pela-13, redução-14)
adpmod(redução-14, do-15)
adpobj(do-15, mundo-16)
det(elementos-19, a-17)
amod(elementos-19, míseros-18)
nsubj(atingisse-22, elementos-19)
amod(elementos-19, quantitativos-20)
dobj(atingisse-22, me-21)
parataxis(terminava-12, atingisse-22)
p(Era-1, .-23)

root(ROOT-0, Precisava-1)
xcomp(Precisava-1, reagir-2)
p(Precisava-1, .-3)

root(ROOT-0, Queria-1)
xcomp(Queria-1, ver-2)
mark(conseguia-9, se-3)
det(cinzento-5, o-4)
nsubj(conseguia-9, cinzento-5)
adpmod(cinzento-5, de-6)
poss(palavras-8, suas-7)
adpobj(de-6, palavras-8)
ccomp(ver-2, conseguia-9)
xcomp(conseguia-9, embaçar-10)
adpmod(embaçar-10, meus-11)
num(e-13, vinte-12)
cc(meus-11, e-13)
num(anos-15, dois-14)
conj(meus-11, anos-15)
cc(meus-11, e-16)
det(tarde-19, a-17)
amod(tarde-19, clara-18)
conj(meus-11, tarde-19)
adpmod(tarde-19, de-20)
adpobj(de-20, verão-21)
p(Queria-1, .-22)

aux(disposta-2, Decidi-me-1)
root(ROOT-0, disposta-2)
adpmod(disposta-2, a-3)
adpcomp(a-3, começar-4)
adpmod(começar-4, no-5)
amod(momento-7, mesmo-6)
adpobj(no-5, momento-7)
adpmod(momento-7, a-8)
adpcomp(a-8, lutar-9)
p(disposta-2, .-10)

root(ROOT-0, Voltei-me-1)
adpmod(Voltei-me-1, para-2)
adpobj(para-2, ele-3)
partmod(Voltei-me-1, apoiei-4)
det(mãos-6, as-5)
dobj(apoiei-4, mãos-6)
adpmod(apoiei-4, no-7)
adpobj(no-7, parapeito-8)
adpmod(parapeito-8, da-9)
adpobj(da-9, janela-10)
partmod(apoiei-4, entrefechei-11)
det(olhos-13, os-12)
dobj(entrefechei-11, olhos-13)
cc(olhos-13, e-14)
conj(olhos-13, sibilei-15)
p(entrefechei-11, :-16)
p(parece-21, --17)
det(hora-19, Essa-18)
nsubj(parece-21, hora-19)
iobj(parece-21, me-20)
parataxis(entrefechei-11, parece-21)
det(primeira-23, a-22)
dobj(parece-21, primeira-23)
adpmod(primeira-23, das-24)
adpobj(das-24, horas-25)
cc(primeira-23, e-26)
advmod(última-29, também-27)
det(última-29, a-28)
conj(primeira-23, última-29)
p(Voltei-me-1, !-30)

root(ROOT-0, Silêncio-1)
p(Silêncio-1, .-2)

advmod(brisa-4, Lá-1)
aux(brisa-4, fora-2)
adp(brisa-4, a-3)
root(ROOT-0, brisa-4)
advmod(brisa-4, indiferente-5)
p(brisa-4, .-6)

nsubj(ergueu-2, Ele-1)
root(ROOT-0, ergueu-2)
det(olhos-4, os-3)
dobj(ergueu-2, olhos-4)
adpmod(ergueu-2, para-5)
adpobj(para-5, mim-6)
partmod(ergueu-2, levantou-7)
det(mão-9, a-8)
dobj(levantou-7, mão-9)
partmod(levantou-7, sonolenta-10)
cc(sonolenta-10, e-11)
conj(sonolenta-10, acariciou-12)
det(cabelos-14, os-13)
dobj(sonolenta-10, cabelos-14)
p(ergueu-2, .-15)

advmod(pôsse-2, Depois-1)
root(ROOT-0, pôsse-2)
det(riscar-4, a-3)
dobj(pôsse-2, riscar-4)
adpmod(riscar-4, com-5)
det(unha-7, a-6)
adpobj(com-5, unha-7)
det(desenhos-9, os-8)
appos(riscar-4, desenhos-9)
adpmod(desenhos-9, em-10)
adpobj(em-10, xadrez-11)
adpmod(xadrez-11, da-12)
adpobj(da-12, toalha-13)
adpmod(toalha-13, de-14)
adpobj(de-14, mesa-15)
p(pôsse-2, .-16)

root(ROOT-0, Fechei-1)
det(olhos-3, os-2)
nsubj(abandonei-4, olhos-3)
ccomp(Fechei-1, abandonei-4)
det(braços-6, os-5)
dobj(abandonei-4, braços-6)
adpmod(abandonei-4, ao-7)
adpobj(ao-7, longo-8)
adpmod(longo-8, do-9)
adpobj(do-9, corpo-10)
p(Fechei-1, .-11)

poss(anos-8, Meus-1)
amod(anos-8, lindos-2)
cc(lindos-2, e-3)
conj(lindos-2, luminosos-4)
num(anos-8, vinte-5)
cc(vinte-5, e-6)
conj(vinte-5, dois-7)
root(ROOT-0, anos-8)
p(anos-8, .-9)

nsubj(vir-2, Mandei-1)
root(ROOT-0, vir-2)
dobj(vir-2, café-3)
cc(vir-2, e-4)
conj(vir-2, com-5)
det(açúcar-7, muito-6)
adpobj(com-5, açúcar-7)
p(vir-2, .-8)

mwe(que-2, Depois-1)
mark(separamos-4, que-2)
dobj(separamos-4, nos-3)
root(ROOT-0, separamos-4)
adpmod(separamos-4, no-5)
adpobj(no-5, fim-6)
adpmod(fim-6, da-7)
adpobj(da-7, estrada-8)
partmod(separamos-4, voltei-9)
advmod(devagar-11, muito-10)
advmod(voltei-9, devagar-11)
adpmod(voltei-9, para-12)
adpobj(para-12, casa-13)
partmod(casa-13, mordendo-14)
det(capim-16, um-15)
dobj(mordendo-14, capim-16)
cc(separamos-4, e-17)
conj(separamos-4, chutando-18)
det(seixos-21, todos-19)
det(seixos-21, os-20)
dobj(chutando-18, seixos-21)
amod(seixos-21, brancos-22)
adpmod(seixos-21, do-23)
adpobj(do-23, caminho-24)
p(separamos-4, .-25)

det(sol-2, O-1)
nsubj(tinha-5, sol-2)
advmod(tinha-5, já-3)
prt(tinha-5, se-4)
root(ROOT-0, tinha-5)
acomp(tinha-5, deitado-6)
cc(deitado-6, e-7)
conj(deitado-6, no-8)
adpobj(no-8, céu-9)
adpmod(céu-9, sem-10)
adpobj(sem-10, cor-11)
advmod(viam-14, já-12)
prt(viam-14, se-13)
partmod(tinha-5, viam-14)
det(estrelas-17, as-15)
amod(estrelas-17, primeiras-16)
nsubj(viam-14, estrelas-17)
p(tinha-5, .-18)

root(ROOT-0, Estava-1)
adpmod(Estava-1, com-2)
adpobj(com-2, preguiça-3)
adpmod(preguiça-3, de-4)
adpcomp(de-4, chegar-5)
adpmod(chegar-5, em-6)
adpobj(em-6, casa-7)
p(Estava-1, :-8)
advmod(serão-14, invariavelmente-9)
det(jantar-11, o-10)
nsubj(serão-14, jantar-11)
det(longo-13, o-12)
nsubj(serão-14, longo-13)
parataxis(Estava-1, serão-14)
acomp(serão-14, vazio-15)
det(livro-17, um-16)
dobj(serão-14, livro-17)
det(bordado-19, o-18)
appos(livro-17, bordado-19)
cc(bordado-19, e-20)
conj(bordado-19, enfim-21)
det(cama-23, a-22)
adpobj(enfim-21, cama-23)
det(sono-25, o-24)
appos(cama-23, sono-25)
p(Estava-1, .-26)

root(ROOT-0, Enveredei-1)
adpmod(Enveredei-1, pelo-2)
adpobj(pelo-2, atalho-3)
advmod(comprido-5, mais-4)
amod(atalho-3, comprido-5)
p(Enveredei-1, .-6)

det(relva-2, A-1)
nsubj(crescida-3, relva-2)
root(ROOT-0, crescida-3)
auxpass(penugenta-5, era-4)
partmod(crescida-3, penugenta-5)
cc(penugenta-5, e-6)
mark(soprava-10, quando-7)
det(vento-9, o-8)
nsubj(soprava-10, vento-9)
conj(penugenta-5, soprava-10)
amod(ela-12, forte-11)
nsubj(acariciava-14, ela-12)
iobj(acariciava-14, me-13)
ccomp(soprava-10, acariciava-14)
det(pernas-16, as-15)
dobj(acariciava-14, pernas-16)
p(crescida-3, .-17)

cc(estava-3, Mas-1)
nsubj(estava-3, eu-2)
root(ROOT-0, estava-3)
acomp(estava-3, inquieta-4)
p(estava-3, .-5)

nsubj(era-2, Ele-1)
root(ROOT-0, era-2)
acomp(era-2, moreno-3)
cc(moreno-3, e-4)
conj(moreno-3, triste-5)
p(era-2, .-6)

cc(andava-3, E-1)
advmod(andava-3, sempre-2)
root(ROOT-0, andava-3)
adpmod(andava-3, de-4)
adpobj(de-4, escuro-5)
p(andava-3, .-6)

root(ROOT-0, Oh-1)
adpmod(Oh-1, sem-2)
adpobj(sem-2, dúvida-3)
nsubj(gostava-5, eu-4)
rcmod(Oh-1, gostava-5)
adpmod(gostava-5, dele-6)
p(Oh-1, .-7)

nsubj(branca-3, Eu-1)
advmod(branca-3, muito-2)
root(ROOT-0, branca-3)
cc(branca-3, e-4)
conj(branca-3, alegre-5)
adpmod(branca-3, ao-6)
poss(lado-8, seu-7)
adpobj(ao-6, lado-8)
p(branca-3, .-9)

root(ROOT-0, Eu-1)
adpmod(Eu-1, numa-2)
adpobj(numa-2, roupa-3)
amod(cortando-5, florida-4)
partmod(roupa-3, cortando-5)
acomp(cortando-5, rosas-6)
cc(rosas-6, e-7)
conj(rosas-6, ele-8)
adpmod(rosas-6, de-9)
adpobj(de-9, escuro-10)
neg(de-12, não-11)
adpmod(rosas-6, de-12)
adpobj(de-12, branco-13)
partmod(rosas-6, lendo-14)
det(livro-16, um-15)
dobj(lendo-14, livro-16)
p(Eu-1, .-17)

advmod(formávamos-3, Sim-1)
nsubj(formávamos-3, nós-2)
root(ROOT-0, formávamos-3)
det(par-6, um-4)
amod(par-6, belo-5)
dobj(formávamos-3, par-6)
p(formávamos-3, .-7)

root(ROOT-0, Achei-me-1)
acomp(Achei-me-1, fútil-2)
advmod(imaginando-4, assim-3)
partmod(fútil-2, imaginando-4)
dobj(imaginando-4, quadros-5)
p(Achei-me-1, .-6)

cc(justifiquei-me-2, Mas-1)
root(ROOT-0, justifiquei-me-2)
p(justifiquei-me-2, :-3)
parataxis(justifiquei-me-2, precisamos-4)
xcomp(precisamos-4, contentar-5)
det(natureza-7, a-6)
dobj(contentar-5, natureza-7)
amod(natureza-7, enfeitá-la-8)
p(justifiquei-me-2, .-9)

neg(plantaria-4, Pois-1)
nsubj(plantaria-4, eu-2)
advmod(plantaria-4, jamais-3)
root(ROOT-0, plantaria-4)
dobj(plantaria-4, jasmim-5)
advmod(jasmim-5, junto-6)
adpmod(junto-6, de-7)
adpobj(de-7, girassóis-8)
adpmod(plantaria-4, como-9)
adpobj(como-9, ousaria-10)
p(plantaria-4, .-11)

nsubj(era-6, Bem-1)
advmod(o-3, bem-2)
nsubj(era-6, o-3)
nsubj(precisava-5, que-4)
rcmod(o-3, precisava-5)
root(ROOT-0, era-6)
adpmod(era-6, de-7)
adpcomp(de-7, resolver-8)
poss(caso-10, meu-9)
dobj(resolver-8, caso-10)
p(era-6, .-11)

adpmod(pensei-4, Durante-1)
num(dias-3, dois-2)
adpobj(Durante-1, dias-3)
root(ROOT-0, pensei-4)
adpmod(pensei-4, em-5)
adpobj(em-5, cessar-6)
p(pensei-4, .-7)

root(ROOT-0, Queria-1)
xcomp(Queria-1, achar-2)
det(fórmula-4, uma-3)
dobj(achar-2, fórmula-4)
nsubj(desse-7, que-5)
advmod(desse-7, mo-6)
rcmod(fórmula-4, desse-7)
adpmod(desse-7, para-8)
adpobj(para-8, mim-9)
p(Queria-1, .-10)

root(ROOT-0, Queria-1)
xcomp(Queria-1, achar-2)
det(fórmula-4, a-3)
dobj(achar-2, fórmula-4)
nsubj(salvá-lo-7, que-5)
aux(salvá-lo-7, pudesse-6)
rcmod(fórmula-4, salvá-lo-7)
p(Queria-1, .-8)

advmod(salvá-lo-2, Sim-1)
root(ROOT-0, salvá-lo-2)
p(salvá-lo-2, .-3)

cc(era-5, E-1)
det(idéia-3, essa-2)
nsubj(era-5, idéia-3)
dobj(era-5, me-4)
root(ROOT-0, era-5)
acomp(era-5, agradável-6)
mark(justificaria-8, porque-7)
advcl(era-5, justificaria-8)
det(meios-10, os-9)
dobj(justificaria-8, meios-10)
nsubj(empregasse-12, que-11)
rcmod(meios-10, empregasse-12)
adpmod(empregasse-12, para-13)
adpobj(para-13, prendê-lo-14)
p(era-5, .-15)

nsubj(parecia-3, Tudo-1)
dobj(parecia-3, me-2)
root(ROOT-0, parecia-3)
advmod(estéril-5, porém-4)
acomp(parecia-3, estéril-5)
p(parecia-3, .-6)

nsubj(era-2, Ele-1)
root(ROOT-0, era-2)
det(difícil-5, um-3)
amod(difícil-5, homem-4)
attr(era-2, difícil-5)
amod(difícil-5, distante-6)
cc(distante-6, e-7)
det(pior-9, o-8)
conj(distante-6, pior-9)
parataxis(era-2, é-10)
mark(falava-12, que-11)
csubj(é-10, falava-12)
advmod(falava-12, francamente-13)
adpmod(francamente-13, de-14)
poss(pontos-16, seus-15)
adpobj(de-14, pontos-16)
amod(pontos-16, fracos-17)
p(falava-12, :-18)
adpmod(falava-12, por-19)
advmod(atacá-lo-21, onde-20)
adpcomp(por-19, atacá-lo-21)
advmod(atacá-lo-21, então-22)
mark(conhecia-26, se-23)
nsubj(conhecia-26, ele-24)
dobj(conhecia-26, se-25)
advcl(falava-12, conhecia-26)
p(era-2, ?-27)

det(nascimento-2, O-1)
nsubjpass(precedido-7, nascimento-2)
adpmod(nascimento-2, de-3)
det(idéia-5, uma-4)
adpobj(de-3, idéia-5)
auxpass(precedido-7, é-6)
root(ROOT-0, precedido-7)
adpmod(precedido-7, por-8)
det(gestação-11, uma-9)
amod(gestação-11, longa-10)
adpobj(por-8, gestação-11)
adpmod(precedido-7, por-12)
det(processo-14, um-13)
