det(apito-2, O-1)
num(minutos-16, cinco-15)
dobj(Faltam-14, minutos-16)
p(consultava-2, .-17)

nsubj(pensou-2, João-1)
root(ROOT-0, pensou-2)
mark(atrasado-9, que-3)
det(relógio-5, o-4)
nsubj(atrasado-9, relógio-5)
adpmod(relógio-5, do-6)
adpcomp(do-6, viajante-7)
aux(atrasado-9, estava-8)
ccomp(pensou-2, atrasado-9)
mark(apitou-13, porque-10)
det(navio-12, o-11)
nsubj(apitou-13, navio-12)
advcl(atrasado-9, apitou-13)
det(vez-16, uma-14)
amod(vez-16, última-15)
dobj(apitou-13, vez-16)
adpmod(vez-16, os-17)
nsubj(ficavam-19, que-18)
rcmod(os-17, ficavam-19)
partmod(ficavam-19, saltaram-20)
dobj(saltaram-20, os-21)
nsubj(debruçaram-25, que-22)
aux(debruçaram-25, iam-23)
dobj(debruçaram-25, se-24)
rcmod(os-21, debruçaram-25)
adpmod(debruçaram-25, na-26)
adpobj(na-26, amurada-27)
p(pensou-2, .-28)

det(resfolegar-2, O-1)
nsubj(deu-6, resfolegar-2)
adpmod(resfolegar-2, das-3)
adpobj(das-3, máquinas-4)
iobj(deu-6, lhe-5)
root(ROOT-0, deu-6)
adpmod(deu-6, de-7)
adpobj(de-7, repente-8)
adpmod(deu-6, a-9)
adpobj(a-9, certeza-10)
adpmod(certeza-10, de-11)
mark(partia-13, que-12)
adpcomp(de-11, partia-13)
cc(partia-13, e-14)
advmod(voltou-17, então-15)
prt(voltou-17, se-16)
conj(partia-13, voltou-17)
adpmod(voltou-17, com-18)
det(comoção-21, uma-19)
amod(comoção-21, estranha-20)
adpobj(com-18, comoção-21)
adpmod(comoção-21, para-22)
det(cidade-24, a-23)
adpobj(para-22, cidade-24)
partmod(comoção-21, fitou-25)
advmod(fitou-25, novamente-26)
det(telhados-29, os-27)
amod(telhados-29, velhos-28)
dobj(fitou-25, telhados-29)
det(trecho-31, o-30)
dobj(fitou-25, trecho-31)
adpmod(trecho-31, de-32)
adpobj(de-32, rua-33)
amod(rua-33, calçada-34)
adpmod(trecho-31, com-35)
adpobj(com-35, pedras-36)
amod(pedras-36, colossais-37)
p(deu-6, .-38)

det(sino-2, O-1)
nsubj(repicava-3, sino-2)
root(ROOT-0, repicava-3)
cc(repicava-3, e-4)
nsubj(imaginou-6, João-5)
conj(repicava-3, imaginou-6)
mark(era-10, que-7)
det(chamado-9, aquele-8)
nsubj(era-10, chamado-9)
ccomp(imaginou-6, era-10)
adpmod(era-10, para-11)
adpobj(para-11, ele-12)
nsubj(beber-32, convite-13)
adpmod(convite-13, para-14)
adpcomp(para-14, correr-15)
advmod(correr-15, novamente-16)
det(ruas-18, as-17)
dobj(correr-15, ruas-18)
adpmod(ruas-18, da-19)
adpobj(da-19, cidade-20)
mark(descer-22, para-21)
advcl(correr-15, descer-22)
det(ladeiras-25, as-23)
poss(ladeiras-25, suas-24)
nsubj(tomar-26, ladeiras-25)
xcomp(descer-22, tomar-26)
dobj(tomar-26, mingau-27)
adpmod(tomar-26, nessa-28)
adpobj(nessa-28, madrugada-29)
adpmod(correr-15, no-30)
adpobj(no-30, Terreiro-31)
infmod(ele-12, beber-32)
dobj(beber-32, cachaça-33)
adpmod(beber-32, com-34)
adpobj(com-34, plantas-35)
amod(plantas-35, aromáticas-36)
partmod(beber-32, jogar-37)
xcomp(jogar-37, ronda-38)
adpmod(ronda-38, nos-39)
adpobj(nos-39, cantos-40)
adpmod(cantos-40, do-41)
adpobj(do-41, Mercado-42)
adpmod(ronda-38, pela-43)
adpobj(pela-43, manhã-44)
ccomp(ronda-38, jogar-45)
acomp(jogar-45, sete-e-meio-46)
adpmod(sete-e-meio-46, à-47)
adpobj(à-47, tarde-48)
adpmod(jogar-45, na-49)
adpobj(na-49, casa-50)
adpmod(casa-50, de-51)
adpobj(de-51, Violeta-52)
advmod(ia-54, onde-53)
ccomp(jogar-45, ia-54)
det(turma-56, uma-55)
dobj(ia-54, turma-56)
amod(turma-56, boa-57)
partmod(turma-56, jogar-58)
dobj(jogar-58, pôquer-59)
adpmod(jogar-58, à-60)
adpobj(à-60, noite-61)
adpmod(jogar-58, no-62)
adpobj(no-62, cabaré-63)
adpmod(jogar-58, com-64)
det(ricaços-66, aqueles-65)
adpobj(com-64, ricaços-66)
nsubj(respeitavam-69, que-67)
dobj(respeitavam-69, o-68)
rcmod(ricaços-66, respeitavam-69)
p(repicava-3, .-70)

cc(sair-4, E-1)
adpmod(sair-4, pela-2)
adpobj(pela-2, madrugada-3)
root(ROOT-0, sair-4)
advmod(sair-4, novamente-5)
adpmod(sair-4, pelas-6)
adpobj(pelas-6, ruas-7)
det(desabada-10, a-8)
amod(desabada-10, cabeleira-9)
nsubj(dizendo-14, desabada-10)
adpmod(desabada-10, sobre-11)
det(olhos-13, os-12)
adpobj(sobre-11, olhos-13)
partmod(sair-4, dizendo-14)
dobj(dizendo-14, piadas-15)
adpmod(dizendo-14, para-16)
det(mulheres-18, as-17)
adpobj(para-16, mulheres-18)
nsubj(passavam-20, que-19)
rcmod(mulheres-18, passavam-20)
adpmod(passavam-20, de-21)
adpobj(de-21, mãos-22)
amod(mãos-22, cruzadas-23)
adpmod(passavam-20, sobre-24)
det(peito-26, o-25)
adpobj(sobre-24, peito-26)
mwe(causa-28, por-27)
mwe(do-29, causa-28)
mark(encontrar-32, do-29)
nsubj(encontrar-32, frio-30)
partmod(frio-30, procurando-31)
advcl(passavam-20, encontrar-32)
dobj(encontrar-32, companheiros-33)
adpmod(encontrar-32, para-34)
det(farra-36, uma-35)
adpobj(para-34, farra-36)
adpmod(farra-36, de-37)
adpobj(de-37, violão-38)
adpmod(farra-36, na-39)
adpobj(na-39, cidade-40)
amod(cidade-40, baixa-41)
p(sair-4, .-42)

advmod(eram-2, Depois-1)
root(ROOT-0, eram-2)
det(suspiros-4, os-3)
nsubj(eram-2, suspiros-4)
adpmod(suspiros-4, de-5)
adpobj(de-5, Violeta-6)
adpmod(suspiros-4, no-7)
adpobj(no-7, quarto-8)
adpmod(quarto-8, da-9)
adpobj(da-9, rapariga-10)
det(lua-12, a-11)
nsubj(entrando-13, lua-12)
partmod(suspiros-4, entrando-13)
adpmod(entrando-13, pela-14)
adpobj(pela-14, janela-15)
amod(janela-15, aberta-16)
det(vento-18, o-17)
nsubj(balançando-19, vento-18)
parataxis(entrando-13, balançando-19)
det(coqueiros-22, os-20)
num(coqueiros-22, dois-21)
dobj(balançando-19, coqueiros-22)
adpmod(coqueiros-22, do-23)
adpobj(do-23, quintal-24)
p(eram-2, .-25)

det(suspiros-2, Os-1)
nsubj(iam-5, suspiros-2)
adpmod(suspiros-2, de-3)
adpobj(de-3, amor-4)
root(ROOT-0, iam-5)
adpmod(iam-5, com-6)
det(vento-8, o-7)
adpobj(com-6, vento-8)
adpmod(iam-5, até-9)
det(lua-11, a-10)
adpobj(até-9, lua-11)
nsubj(sabe-13, quem-12)
rcmod(lua-11, sabe-13)
p(iam-5, ?-14)

det(soluços-2, Os-1)
nsubj(desviaram-6, soluços-2)
adpmod(soluços-2, da-3)
adpobj(da-3, moça-4)
amod(moça-4, pálida-5)
root(ROOT-0, desviaram-6)
poss(pensamentos-8, seus-7)
dobj(desviaram-6, pensamentos-8)
p(desviaram-6, .-9)

nsubj(dizia-2, Ela-1)
root(ROOT-0, dizia-2)
adpmod(dizia-2, numa-3)
adpobj(numa-3, voz-4)
adpmod(voz-4, de-5)
adpobj(de-5, certeza-6)
amod(certeza-6, infalível-7)
p(dizia-2, :-8)
p(Robério-12, --9)
advmod(mais-11, Nunca-10)
advmod(Robério-12, mais-11)
parataxis(dizia-2, Robério-12)
advmod(mais-14, nunca-13)
advmod(Robério-12, mais-14)
p(dizia-2, .-15)

det(homem-2, O-1)
root(ROOT-0, homem-2)
adpmod(homem-2, a-3)
adpcomp(a-3, beijava-4)
adpmod(beijava-4, numa-5)
adpobj(numa-5, excitação-6)
amod(excitação-6, cheia-7)
adpmod(cheia-7, de-8)
adpobj(de-8, dor-9)
cc(homem-2, e-10)
conj(homem-2, respondia-11)
adpmod(respondia-11, com-12)
adpobj(com-12, dificuldade-13)
p(homem-2, :-14)
p(Para-16, --15)
adpmod(volto-20, Para-16)
det(mês-18, o-17)
adpobj(Para-16, mês-18)
nsubj(volto-20, eu-19)
rcmod(homem-2, volto-20)
poss(amor-22, meu-21)
nsubj(trago-23, amor-22)
ccomp(volto-20, trago-23)
det(meninos-25, os-24)
dobj(trago-23, meninos-25)
p(homem-2, .-26)

cc(ficar-4, E-1)
nsubj(ficar-4, você-2)
aux(ficar-4, vai-3)
root(ROOT-0, ficar-4)
acomp(ficar-4, boa-5)
p(ficar-4, .-6)

det(médico-2, O-1)
nsubj(disse-4, médico-2)
dobj(disse-4, me-3)
root(ROOT-0, disse-4)
p(disse-4, .-5)

det(voz-2, A-1)
nsubj(era-5, voz-2)
adpmod(voz-2, da-3)
adpobj(da-3, moça-4)
root(ROOT-0, era-5)
amod(João-7, dorida-6)
nsubj(teve-8, João-7)
csubj(era-5, teve-8)
dobj(teve-8, pena-9)
p(teve-8, :-10)
p(sei-13, --11)
nsubj(sei-13, Eu-12)
parataxis(teve-8, sei-13)
adpmod(sei-13, que-14)
adpobj(que-14, morro-15)
appos(morro-15, Robério-16)
p(era-5, .-17)

neg(vejo-2, Não-1)
root(ROOT-0, vejo-2)
advmod(vejo-2, mais-3)
dobj(vejo-2, você-4)
cc(você-4, nem-5)
det(meninos-7, os-6)
conj(você-4, meninos-7)
p(vejo-2, .-8)

p(Repetiu-2, --1)
root(ROOT-0, Repetiu-2)
amod(Repetiu-2, baixinho-3)
p(Repetiu-2, :-4)
p(rebentou-9, --5)
advmod(rebentou-9, Nem-6)
det(meninos.e-8, os-7)
nsubj(rebentou-9, meninos.e-8)
parataxis(Repetiu-2, rebentou-9)
adpmod(rebentou-9, em-10)
adpobj(em-10, soluços-11)
p(Repetiu-2, .-12)

det(homem-2, O-1)
nsubj(quis-3, homem-2)
csubj(balançou-8, quis-3)
xcomp(quis-3, dizer-4)
dobj(dizer-4, algo-5)
neg(balançou-8, não-6)
aux(balançou-8, pôde-7)
root(ROOT-0, balançou-8)
det(cabeça-10, a-9)
nsubj(olhou-11, cabeça-10)
ccomp(balançou-8, olhou-11)
det(escada-13, a-12)
nsubj(desviou-14, escada-13)
ccomp(olhou-11, desviou-14)
det(olhos-16, os-15)
dobj(desviou-14, olhos-16)
adpmod(desviou-14, para-17)
adpobj(para-17, João-18)
adpmod(desviou-14, como-19)
nsubj(pedia-21, quem-20)
adpcomp(como-19, pedia-21)
dobj(pedia-21, socorro-22)
p(balançou-8, .-23)

det(voz-2, A-1)
nsubj(era-5, voz-2)
adpmod(voz-2, da-3)
adpobj(da-3, mulher-4)
root(ROOT-0, era-5)
det(soluço-7, um-6)
attr(era-5, soluço-7)
p(era-5, :-8)
advmod(vejo-12, nunca-9)
advmod(vejo-12, mais-10)
iobj(vejo-12, lhe-11)
parataxis(era-5, vejo-12)
p(era-5, .-13)

det(homem-2, O-1)
nsubj(continuava-5, homem-2)
adpmod(homem-2, de-3)
adpobj(de-3, preto-4)
root(ROOT-0, continuava-5)
det(olhar-7, a-6)
nsubj(estava-9, olhar-7)
appos(olhar-7, João-8)
ccomp(continuava-5, estava-9)
advmod(estava-9, só-10)
adpmod(estava-9, com-11)
det(dor-14, a-12)
poss(dor-14, sua-13)
adpobj(com-11, dor-14)
p(continuava-5, .-15)

nsubj(ficou-2, João-1)
root(ROOT-0, ficou-2)
det(momento-4, um-3)
nsubj(sabia-7, momento-4)
amod(momento-4, indeciso-5)
neg(sabia-7, não-6)
xcomp(ficou-2, sabia-7)
advmod(sabia-7, mesmo-8)
mark(acudir-11, como-9)
aux(acudir-11, iria-10)
advcl(sabia-7, acudir-11)
det(homem-13, o-12)
dobj(acudir-11, homem-13)
adpmod(homem-13, de-14)
adpobj(de-14, preto-15)
advmod(quis-17, depois-16)
conj(acudir-11, quis-17)
xcomp(quis-17, descer-18)
det(escada-20, a-19)
dobj(descer-18, escada-20)
cc(quis-17, mas-21)
advmod(marinheiros-23, já-22)
conj(quis-17, marinheiros-23)
adpmod(marinheiros-23, a-24)
adpcomp(a-24, retiravam-25)
mark(iniciava-29, pois-26)
det(navio-28, o-27)
nsubj(iniciava-29, navio-28)
advcl(retiravam-25, iniciava-29)
det(manobras-31, as-30)
dobj(iniciava-29, manobras-31)
p(ficou-2, .-32)

det(homem-2, O-1)
nsubj(teve-4, homem-2)
advmod(teve-4, só-3)
root(ROOT-0, teve-4)
dobj(teve-4, tempo-5)
adpmod(tempo-5, de-6)
adpcomp(de-6, beijar-7)
advmod(uma-9, mais-8)
num(vez-10, uma-9)
nmod(beijar-7, vez-10)
det(lábios-12, os-11)
dobj(beijar-7, lábios-12)
adpmod(lábios-12, da-13)
adpobj(da-13, moça-14)
det(beijo-16, um-15)
conj(lábios-12, beijo-16)
advmod(prolongado-18, ardente-17)
amod(beijo-16, prolongado-18)
cc(prolongado-18, e-19)
conj(prolongado-18, profundo-20)
adpmod(beijo-16, como-21)
dobj(quisesse-25, se-22)
nsubj(quisesse-25, ele-23)
advmod(quisesse-25, também-24)
adpcomp(como-21, quisesse-25)
xcomp(quisesse-25, adquirir-26)
det(moléstia-28, a-27)
dobj(adquirir-26, moléstia-28)
nsubj(comia-30, que-29)
rcmod(moléstia-28, comia-30)
det(peito-32, o-31)
dobj(comia-30, peito-32)
adpmod(peito-32, da-33)
adpobj(da-33, esposa-34)
p(teve-4, .-35)

root(ROOT-0, Pulou-1)
adpmod(Pulou-1, no-2)
adpobj(no-2, navio-3)
p(Pulou-1, .-4)

cc(foi-5, Mas-1)
det(dor-4, a-2)
poss(dor-4, sua-3)
nsubj(foi-5, dor-4)
root(ROOT-0, foi-5)
advmod(alta-7, mais-6)
acomp(foi-5, alta-7)
mark(saltaram-14, que-8)
poss(orgulho-10, seu-9)
nsubj(saltaram-14, orgulho-10)
cc(orgulho-10, e-11)
det(soluços-13, os-12)
conj(orgulho-10, soluços-13)
csubj(foi-5, saltaram-14)
adpmod(saltaram-14, do-15)
poss(peito-17, seu-16)
adpobj(do-15, peito-17)
partmod(saltaram-14, encheram-18)
det(navio-20, o-19)
dobj(encheram-18, navio-20)
nsubj(partia-22, que-21)
rcmod(navio-20, partia-22)
cc(partia-22, e-23)
conj(partia-22, até-24)
det(coronel-26, o-25)
adpobj(até-24, coronel-26)
amod(coronel-26, gordo-27)
partmod(encheram-18, parou-28)
det(conversa-30, a-29)
dobj(parou-28, conversa-30)
adpmod(parou-28, com-31)
det(viajante-33, o-32)
adpcomp(com-31, viajante-33)
p(foi-5, .-34)

adpmod(dizia-4, De-1)
adpcomp(De-1, fora-2)
nsubj(dizia-4, alguém-3)
root(ROOT-0, dizia-4)
advmod(dizia-4, quase-5)
adp(gritos-7, aos-6)
iobj(dizia-4, gritos-7)
p(dizia-4, :-8)
p(escreva-11, --9)
dobj(escreva-11, Me-10)
parataxis(dizia-4, escreva-11)
p(dizia-4, .-12)

dobj(escreva-2, Me-1)
root(ROOT-0, escreva-2)
p(escreva-2, .-3)

root(ROOT-0, Havia-1)
det(voz-3, outra-2)
dobj(Havia-1, voz-3)
p(Havia-1, :-4)
p(vá-7, --5)
neg(vá-7, Não-6)
parataxis(Havia-1, vá-7)
dobj(esquecer-9, me-8)
ccomp(vá-7, esquecer-9)
p(Havia-1, .-10)

nsubj(deram-3, Raros-1)
amod(Raros-1, lenços-2)
root(ROOT-0, deram-3)
dobj(deram-3, adeuses-4)
advmod(deram-3, só-5)
adpmod(só-5, de-6)
det(face-8, uma-7)
adpobj(de-6, face-8)
partmod(face-8, correram-9)
dobj(correram-9, lágrimas-10)
appos(lágrimas-10, face-11)
amod(face-11, jovem-12)
adpmod(face-11, de-13)
adpobj(de-13, mulher-14)
nsubj(soluçava-16, que-15)
rcmod(lágrimas-10, soluçava-16)
partmod(soluçava-16, arfando-17)
det(peito-19, o-18)
dobj(arfando-17, peito-19)
p(deram-3, .-20)

neg(existia-2, Não-1)
root(ROOT-0, existia-2)
advmod(existia-2, ainda-3)
det(cais-6, o-4)
amod(cais-6, novo-5)
dobj(existia-2, cais-6)
adpmod(cais-6, da-7)
adpobj(da-7, Bahia-8)
cc(cais-6, e-9)
det(águas-11, as-10)
nsubj(penetravam-12, águas-11)
conj(cais-6, penetravam-12)
advmod(penetravam-12, quase-13)
adpmod(penetravam-12, pela-14)
adpobj(pela-14, rua-15)
p(existia-2, .-16)

det(navio-2, O-1)
nsubj(afastando-5, navio-2)
aux(afastando-5, foi-3)
dobj(afastando-5, se-4)
root(ROOT-0, afastando-5)
advmod(afastando-5, devagar-6)
adpmod(afastando-5, nas-7)
amod(manobras-9, primeiras-8)
adpobj(nas-7, manobras-9)
p(afastando-5, .-10)

det(moça-2, A-1)
root(ROOT-0, moça-2)
nsubj(chorava-4, que-3)
rcmod(moça-2, chorava-4)
xcomp(chorava-4, sacudia-5)
det(lenço-7, o-6)
dobj(sacudia-5, lenço-7)
cc(sacudia-5, mas-8)
advmod(distinguia-11, já-9)
neg(distinguia-11, não-10)
conj(sacudia-5, distinguia-11)
adpmod(distinguia-11, dentre-12)
adpobj(dentre-12, os-13)
dobj(respondiam-15, que-14)
rcmod(os-13, respondiam-15)
adpmod(respondiam-15, de-16)
adpobj(de-16, bordo-17)
dobj(respondiam-15, aquele-18)
adpmod(respondiam-15, a-19)
nsubj(dera-21, quem-20)
adpcomp(a-19, dera-21)
poss(coração-23, seu-22)
dobj(dera-21, coração-23)
p(moça-2, .-24)

advmod(tomou-5, Logo-1)
advmod(tomou-5, depois-2)
det(navio-4, o-3)
nsubj(tomou-5, navio-4)
root(ROOT-0, tomou-5)
dobj(tomou-5, velocidade-6)
appos(velocidade-6, os-7)
nsubj(estavam-9, que-8)
rcmod(os-7, estavam-9)
det(vê-lo-11, a-10)
nsubj(partir-12, vê-lo-11)
csubj(estavam-9, partir-12)
mark(retiraram-14, se-13)
advcl(partir-12, retiraram-14)
p(tomou-5, .-15)

det(senhor-2, Um-1)
nsubj(pegou-4, senhor-2)
amod(senhor-2, velho-3)
root(ROOT-0, pegou-4)
adpmod(pegou-4, no-5)
adpobj(no-5, braço-6)
adpmod(braço-6, da-7)
adpobj(da-7, moça-8)
cc(pegou-4, e-9)
conj(pegou-4, foi-10)
adpmod(foi-10, com-11)
nsubj(resmungando-13, ela-12)
adpcomp(com-11, resmungando-13)
dobj(resmungando-13, palavras-14)
adpmod(palavras-14, de-15)
adpobj(de-15, consolação-16)
cc(de-15, e-17)
conj(de-15, de-18)
adpobj(de-18, esperança-19)
p(pegou-4, .-20)

det(navio-2, O-1)
nsubj(distanciava-4, navio-2)
prt(distanciava-4, se-3)
root(ROOT-0, distanciava-4)
p(distanciava-4, .-5)

nsubj(confundiam-3, Grupos-1)
dobj(confundiam-3, se-2)
root(ROOT-0, confundiam-3)
adpmod(confundiam-3, nos-4)
amod(minutos-6, primeiros-5)
adpobj(nos-4, minutos-6)
adpmod(minutos-6, da-7)
adpobj(da-7, viagem-8)
p(confundiam-3, .-9)

nsubj(começavam-2, Mulheres-1)
root(ROOT-0, começavam-2)
adpmod(começavam-2, a-3)
dobj(retirar-5, se-4)
adpcomp(a-3, retirar-5)
adpmod(retirar-5, para-6)
det(camarotes-8, os-7)
adpobj(para-6, camarotes-8)
nsubj(espiavam-10, homens-9)
rcmod(camarotes-8, espiavam-10)
det(rodas-12, as-11)
dobj(espiavam-10, rodas-12)
nsubj(cortavam-14, que-13)
rcmod(rodas-12, cortavam-14)
det(mar-16, o-15)
dobj(cortavam-14, mar-16)
mark(tinham-28, porque-17)
adpmod(tinham-28, naquele-18)
adpobj(naquele-18, tempo-19)
det(navios-21, os-20)
nsubj(tinham-28, navios-21)
nsubj(iam-23, que-22)
rcmod(navios-21, iam-23)
adpmod(iam-23, de-24)
adpobj(de-24, Bahia-25)
adpmod(iam-23, para-26)
adpobj(para-26, Ilhéus-27)
advcl(cortavam-14, tinham-28)
dobj(tinham-28, rodas-29)
adpmod(rodas-29, como-30)
adpobj(como-30, se-31)
adpmod(se-31, em-32)
adpobj(em-32, vez-33)
adpmod(se-31, de-34)
adpcomp(de-34, irem-35)
xcomp(irem-35, vencer-36)
det(mar-39, o-37)
amod(mar-39, grande-38)
dobj(vencer-36, mar-39)
appos(mar-39, oceano-40)
advmod(campeia-42, onde-41)
ccomp(vencer-36, campeia-42)
det(vento-44, o-43)
nsubj(tivessem-46, vento-44)
amod(vento-44, sul-45)
xcomp(campeia-42, tivessem-46)
advmod(tivessem-46, apenas-47)
mark(navegar-49, que-48)
ccomp(tivessem-46, navegar-49)
adpmod(navegar-49, num-50)
adpobj(num-50, rio-51)
adpmod(rio-51, de-52)
adpobj(de-52, águas-53)
amod(águas-53, mansas-54)
p(começavam-2, .-55)

det(vento-2, O-1)
nsubj(soprou-3, vento-2)
root(ROOT-0, soprou-3)
advmod(forte-5, mais-4)
acomp(soprou-3, forte-5)
cc(soprou-3, e-6)
conj(soprou-3, trouxe-7)
